model,dataset,image_id,precision,sensitivity,f1,iou,mcc,tvs,cldice,sf1
DCP_1024,DualModal2019,DualModal2019_A4_R2,0.6004022360876072,0.9474627171267336,0.735023727737,0.5810573240413967,,0.810144417048,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_A5_R4,0.5856348725845577,0.9546898271937446,0.725950386158,0.5697975795219133,,0.853084856161,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_A6_L2,0.6096138841439747,0.9371423940348971,0.738700754454,0.5856665316042633,,0.791780821918,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_A6_R3,0.5218883647516916,0.9594884168250036,0.676054663584,0.5106363873104616,,0.859828798533,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_A7_L1,0.5681951346539902,0.9115691257880735,0.700042778461,0.5385121655251315,,0.679407669915,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_A7_R1,0.5535776732435054,0.9391063056168597,0.696555052448,0.5343954524172272,,0.776539836031,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C1_L4,0.6742100639226482,0.9358704793942848,0.783778548663,0.6444373660745641,,0.79104197901,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C1_R4,0.6876208402811714,0.9330510827319709,0.791752310166,0.6552897363907049,,0.753649915476,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C2_L4,0.7001206463035221,0.9302182738837191,0.798932063819,0.6651847408060367,,0.745418848168,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C2_R3,0.6367333491199851,0.9312032282842271,0.756316497493,0.6081261799874548,,0.78779918272,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C3_L1,0.6318680164661858,0.9300122107668845,0.752484038994,0.60318590103424,,0.751273653566,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C3_R1,0.6810534456942177,0.9398173174226002,0.7897802057,0.6525923715838863,,0.766023166023,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C4_L2,0.5274395915579191,0.9023782158967647,0.665749153692,0.4989685077091701,,0.692636793515,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C4_R2,0.5711075040578824,0.8899554114311905,0.695740352256,0.5334369988824187,,0.7234393404,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C5_L1,0.6696260451312795,0.931579733159964,0.779175370084,0.6382369350932998,,0.743511723644,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C5_R1,0.6259265219566199,0.947753920247728,0.753932372878,0.6050493219371502,,0.837945879459,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C6_L2,0.6918747872068864,0.949209358556938,0.80036605638,0.6671752334423164,,0.673469387755,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C6_R2,0.6728763406496638,0.9510886934294995,0.788151304047,0.6503710460547192,,0.76234425473,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C7_L4,0.6719264867395257,0.9282366010960369,0.779553987939,0.6387451638459174,,0.694963573012,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C7_R3,0.6891253428364663,0.9207939331524193,0.788290996113,0.6505613093442966,,0.639479392625,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C8_L4,0.6991890453479659,0.9246865418788291,0.796281076639,0.6615174532735931,,0.679599754952,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C8_R2,0.6745468804455,0.9391803358245474,0.785165124959,0.6463142778416706,,0.700761473554,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C9_L4,0.6827383283827293,0.9390948989503147,0.790655994336,0.653789153981777,,0.837195994278,0.825274280005,0.862923821384
DCP_1024,DualModal2019,DualModal2019_C9_R5,0.7579180395384358,0.9148066215947177,0.829004865303,0.7079490262079599,,0.77036199095,0.825274280005,0.862923821384
DCP_1024,HRF,01_dr,0.5677648961086522,0.8182073690429987,0.670358900478,0.5041652974768838,,0.581516415237,0.753632519533,0.535952697705
DCP_1024,HRF,01_g,0.639466902080186,0.8200835597627121,0.718599743028,0.560792569783059,,0.421219547355,0.753632519533,0.535952697705
DCP_1024,HRF,01_h,0.8702132060677946,0.701251247170341,0.776648933804,0.6348536861286953,,0.254509949786,0.753632519533,0.535952697705
DCP_1024,HRF,02_dr,0.6456546397861173,0.8038411276196185,0.716116273492,0.5577734639878528,,0.416845191115,0.753632519533,0.535952697705
DCP_1024,HRF,02_g,0.704963440221216,0.8089686775283442,0.753393544209,0.6043555612191618,,0.360712596563,0.753632519533,0.535952697705
DCP_1024,HRF,02_h,0.862669118332763,0.7457244711400693,0.799945332098,0.6665907424838464,,0.37271004422,0.753632519533,0.535952697705
DCP_1024,HRF,03_dr,0.6927951168613787,0.7952346278322422,0.740488782413,0.5879175763369897,,0.330594722623,0.753632519533,0.535952697705
DCP_1024,HRF,03_g,0.6229118347902682,0.8294774027728304,0.711505259768,0.5521988080757628,,0.416398100981,0.753632519533,0.535952697705
DCP_1024,HRF,03_h,0.8769447997781078,0.6877874865043848,0.770932721118,0.6272502200361773,,0.315481416447,0.753632519533,0.535952697705
DCP_1024,HRF,04_dr,0.6774645750083318,0.8114172214664174,0.738415130599,0.5853075353936348,,0.312065045132,0.753632519533,0.535952697705
