"model","dataset","image_id","f1","f2","tvs","structural_utility"
"DCP-1024","AFIO","IM003631","0.609260368319","0.513299201685","0.283018867925","0.653286643922"
"FR-UNet","AFIO","IM003631","0.630084788644","0.552678949107","0.339622641509","0.637345970165"
"FSG-Net","AFIO","IM003631","0.668306077406","0.591027085347","0.283018867925","0.705760143786"
"GAVE","AFIO","IM003631","0.623021588884","0.556822106026","0.283018867925","0.616329938402"
"SA-UNetv2","AFIO","IM003631","0.682948661106","0.618888927635","0.339622641509","0.711545650267"
"DCP-1024","AFIO","IM003705","0.539298926987","0.463882582731","0.722222222222","0.552066500374"
"FR-UNet","AFIO","IM003705","0.506424401656","0.424110122771","0.75","0.510094205112"
"FSG-Net","AFIO","IM003705","0.608496500113","0.556132075472","0.833333333333","0.636748530051"
"GAVE","AFIO","IM003705","0.486238732985","0.410223886111","0.805555555556","0.506189121225"
"SA-UNetv2","AFIO","IM003705","0.627021285687","0.593314911255","0.777777777778","0.6485613204"
"DCP-1024","AFIO","IM004162","0.622756655314","0.538269290847","0.571428571429","0.668623610823"
"FR-UNet","AFIO","IM004162","0.652705750213","0.584485283949","0.5","0.689343484877"
"FSG-Net","AFIO","IM004162","0.619469615255","0.526661937396","0.357142857143","0.680078496467"
"GAVE","AFIO","IM004162","0.577221902956","0.506694651746","0.428571428571","0.574041767961"
"SA-UNetv2","AFIO","IM004162","0.707229658072","0.651967929466","0.785714285714","0.770009983312"
"DCP-1024","AFIO","IM004163","0.646977239143","0.568701511726","0.673913043478","0.674364859528"
"FR-UNet","AFIO","IM004163","0.663078922551","0.610440254398","0.695652173913","0.672877354511"
"FSG-Net","AFIO","IM004163","0.68488508371","0.629254201226","0.608695652174","0.708194448468"
